1.0 1.0 0.0,5.0 1.0 0.0,5.0 5.0 0.0,1.0 5.0 0.0,1.0 1.0 4.0,5.0 1.0 4.0,5.0 5.0 4.0,1.0 5.0 4.0
1.0 -2.0 0.0,6.0 -2.0 0.0,6.0 3.0 0.0,1.0 3.0 0.0,1.0 -2.0 5.0,6.0 -2.0 5.0,6.0 3.0 5.0,1.0 3.0 5.0
0.0 0.0 0.0,7.0 0.0 0.0,7.0 7.0 0.0,0.0 7.0 0.0,0.0 0.0 7.0,7.0 0.0 7.0,7.0 7.0 7.0,0.0 7.0 7.0
0.0 0.0 0.0,9.0 0.0 0.0,9.w 9.0 0.0,0.0 9.0 0.0,0.0 0.0 9.0,9.0 0.0 9.0,9.0 9.0 9.0,0.0 9.0 9.0
0.0 0.0 0.0,3.0 0.0 0.0,3.0 3.0 0.0,0.0 3.0 0.0,0.0 0.0 3.0,3.0 0.0 3.0,3.0 3.0 3.0,0.0 3.0 3.0
0.0 0.0 0.0,3.0 0.0 0.0,3.0 3.0 0.0,0.0 3.0 0.0,0.0 0.0 3.0,3.0 0.0 3.0,3.0 3.0 3.0,0.0 3.0
-1.0 -1.0 0.0,-5.0 -1.0 0.0,-5.0 -5.0 0.0,-1.0 -5.0 0.0,-1.0 -1.0 -4.0,-5.0 -1.0 -4.0,-5.0 -5.0 -4.0,-1.0 -5.0 -4.0
9.0 7.0 1.0,18.0 7.0 1.0,18.0 16.0 1.0,9.0 16.0 1.0,9.0 7.0 10.0,18.0 7.0 10.0,18.0 16.0 10.0,9.0 16.0 10.0
7.0 5.0 -1.0,16.0 5.0 -1.0,16.0 14.0 -1.0,7.0 14.0 -1.0,7.0 5.0 8.0,16.0 5.0 8.0,16.0 14.0 8.0,7.0 14.0 8.0
12.0 10.0 4.0,21.0 10.0 4.0,21.0 19.0 4.0,12.0 19.0 4.0,12.0 10.0 13.0,21.0 10.0 13.0,21.0 19.0 13.0,12.0 19.0 13.0
10.0 8.0 2.0,19.0 8.0 2.0,19.0 17.0 2.0,10.0 17.0 2.0,10.0 8.0 11.0,19.0 8.0 11.0,19.0 17.0 11.0,10.0 17.0 11.0
0.0 0.0 0.0,11.0 0.0 0.0,11.0 11.0 0.0,0.0 11.0 0.0,0.0 0.0 11.0,11.0 0.0 11.0,11.0 11.0 11.0,0.0 11.0 11.0
17.0 15.0 9.0,26.0 15.0 9.0,26.0 24.0 9.0,17.0 24.0 9.0,17.0 15.0 18.0,26.0 15.0 18.0,26.0 24.0 18.0,17.0 24.0 18.0
14.0 12.0 6.0,23.0 12.0 6.0,23.0 21.0 6.0,14.0 21.0 6.0,14.0 12.0 15.0,23.0 12.0 15.0,23.0 21.0 15.0,14.0 21.0 15.0
11.0 9.0 3.0,20.0 9.0 3.0,20.0 18.0 3.0,11.0 18.0 3.0,11.0 9.0 12.0,20.0 9.0 12.0,20.0 18.0 12.0,11.0 18.0 12.0
0.0 0.0 0.0,15.0 0.0 0.0,15.0 15.0 0.0,0.0 15.0 0.0,0.0 0.0 15.0,15.0 0.0 15.0,15.0 15.0 15.0,0.0 15.0 15.0
